Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2025,61318,Perbankan dan Keuangan Digital,Aktif,D4,Baik,12,5,0,5,72,1:6
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2025,49202,Sains Data,Aktif,S1,-,0,4,1,5,0,-
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2025,57201,Sistem Informasi,Aktif,S1,Baik Sekali,21,8,0,8,352,1:16.76
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2025,20201,Teknik Elektro,Aktif,S1,Baik Sekali,19,16,2,18,429,1:22.58
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2025,22201,Teknik Sipil,Aktif,S1,Baik,21,26,1,27,571,1:27.19
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2025,41223,Teknologi Pangan dan Hasil Pertanian,Aktif,S1,-,30,9,0,9,147,1:4.9
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,54201,Agribisnis,Aktif,S1,Baik Sekali,34,24,0,24,684,1:20.12
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,54101,Agribisnis,Aktif,S2,Baik Sekali,9,5,0,5,44,1:4.89
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,54211,Agroteknologi,Aktif,S1,Baik Sekali,44,18,0,18,554,1:12.59
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,54111,Agroteknologi,Aktif,S2,Baik,6,5,2,7,23,1:3.83
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,62201,Akuntansi,Aktif,S1,Baik Sekali,29,25,1,26,1258,1:43.38
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,60201,Ekonomi Pembangunan,Aktif,S1,Baik Sekali,25,21,1,22,1227,1:49.08
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,60202,Ekonomi Syari'ah,Aktif,S1,B,19,13,0,13,695,1:36.58
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,13211,Gizi,Aktif,S1,Baik Sekali,15,15,0,15,501,1:33.4
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,61001,Ilmu Manajemen,Aktif,S3,Baik,10,5,0,5,6,1:0.6
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,54001,Ilmu Pertanian,Aktif,S3,Terakreditasi Sementara,4,5,0,5,3,1:0.75
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,67201,Ilmu Politik,Aktif,S1,B,16,22,0,22,797,1:49.81
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,55201,Informatika,Aktif,S1,Baik Sekali,26,22,2,24,815,1:31.35
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,13201,Kesehatan Masyarakat,Aktif,S1,Baik Sekali,21,19,0,19,665,1:31.67
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,61201,Manajemen,Aktif,S1,Baik Sekali,37,30,0,30,1629,1:44.03
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,61101,Manajemen,Aktif,S2,Baik Sekali,11,6,1,7,184,1:16.73
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,80206,Manajemen Mutu Halal,Aktif,S1,Terakreditasi Sementara,8,7,0,7,45,1:5.63
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,86009,Pendidikan,Aktif,S3,Baik,11,5,0,5,6,1:0.55
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,88201,Pendidikan Bahasa Indonesia,Aktif,S1,Unggul,21,15,2,17,702,1:33.43
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,88203,Pendidikan Bahasa Inggris,Aktif,S1,Unggul,22,23,0,23,758,1:34.45
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,84205,Pendidikan Biologi,Aktif,S1,Unggul,17,10,0,10,620,1:36.47
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,87203,Pendidikan Ekonomi,Aktif,S1,Unggul,15,16,0,16,584,1:38.93
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,84203,Pendidikan Fisika,Aktif,S1,Unggul,17,10,0,10,427,1:25.12
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,87102,Pendidikan Geografi,Aktif,S2,Baik Sekali,7,4,0,4,35,1:5
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,87202,Pendidikan Geografi,Aktif,S1,Unggul,14,12,0,12,545,1:38.93
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,84101,Pendidikan Ilmu Pengetahuan Alam,Aktif,S2,Baik,12,6,0,6,39,1:3.25
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,85103,Pendidikan Jasmani,Aktif,S2,Baik,5,5,0,5,17,1:3.4
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,85201,Pendidikan Jasmani,Aktif,S1,Unggul,35,27,0,27,1286,1:36.74
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,95102,Pendidikan Kependudukan & Lingkungan Hidup,Alih Bentuk,S2,-,0,0,0,0,0,-
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,86205,Pendidikan Masyarakat,Aktif,S1,Unggul,11,11,1,12,559,1:50.82
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,84102,Pendidikan Matematika,Aktif,S2,Baik Sekali,8,5,0,5,51,1:6.38
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,84202,Pendidikan Matematika,Aktif,S1,Unggul,30,17,0,17,670,1:22.33
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,86904,Pendidikan Profesi Guru,Aktif,Profesi,Baik Sekali,101,12,0,12,296,1:2.93
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,87201,Pendidikan Sejarah,Aktif,S1,Unggul,21,11,0,11,648,1:30.86
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,61406,Perbankan dan Keuangan,Aktif,D3,B,21,12,3,15,582,1:27.71
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,61318,Perbankan dan Keuangan Digital,Aktif,D4,Baik,0,5,0,5,0,-
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,49202,Sains Data,Aktif,S1,-,0,0,0,0,0,-
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,57201,Sistem Informasi,Aktif,S1,Baik Sekali,16,13,1,14,249,1:15.56
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,20201,Teknik Elektro,Aktif,S1,Baik Sekali,20,16,2,18,416,1:20.8
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,22201,Teknik Sipil,Aktif,S1,Baik,22,23,1,24,524,1:23.82
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2024,41223,Teknologi Pangan dan Hasil Pertanian,Aktif,S1,-,27,7,0,7,88,1:3.26
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,54201,Agribisnis,Aktif,S1,Baik Sekali,49,25,0,25,719,1:14.67
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,54101,Agribisnis,Aktif,S2,Baik Sekali,11,5,0,5,46,1:4.18
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,54211,Agroteknologi,Aktif,S1,Baik Sekali,37,18,0,18,587,1:15.86
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,54111,Agroteknologi,Aktif,S2,Baik,8,5,2,7,27,1:3.38
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,62201,Akuntansi,Aktif,S1,Baik Sekali,28,25,1,26,1303,1:46.54
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,60201,Ekonomi Pembangunan,Aktif,S1,Baik Sekali,32,22,1,23,1262,1:39.44
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,60202,Ekonomi Syari'ah,Aktif,S1,B,26,13,0,13,723,1:27.81
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,13211,Gizi,Aktif,S1,Baik Sekali,19,15,0,15,539,1:28.37
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,61001,Ilmu Manajemen,Aktif,S3,Baik,8,5,0,5,6,1:0.75
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,54001,Ilmu Pertanian,Aktif,S3,Terakreditasi Sementara,8,5,0,5,3,1:0.38
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,67201,Ilmu Politik,Aktif,S1,B,23,22,0,22,836,1:36.35
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,55201,Informatika,Aktif,S1,Baik Sekali,28,22,2,24,840,1:30
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,13201,Kesehatan Masyarakat,Aktif,S1,Baik Sekali,17,19,0,19,747,1:43.94
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,61201,Manajemen,Aktif,S1,Baik Sekali,35,30,0,30,1688,1:48.23
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,61101,Manajemen,Aktif,S2,Baik Sekali,10,6,1,7,193,1:19.3
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,80206,Manajemen Mutu Halal,Aktif,S1,Terakreditasi Sementara,9,7,0,7,45,1:5
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,86009,Pendidikan,Aktif,S3,Baik,8,5,0,5,6,1:0.75
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,88201,Pendidikan Bahasa Indonesia,Aktif,S1,Unggul,20,15,2,17,754,1:37.7
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,88203,Pendidikan Bahasa Inggris,Aktif,S1,Unggul,26,23,0,23,812,1:31.23
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,84205,Pendidikan Biologi,Aktif,S1,Unggul,20,10,0,10,646,1:32.3
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,87203,Pendidikan Ekonomi,Aktif,S1,Unggul,17,16,0,16,627,1:36.88
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,84203,Pendidikan Fisika,Aktif,S1,Unggul,15,10,0,10,454,1:30.27
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,87102,Pendidikan Geografi,Aktif,S2,Baik Sekali,9,4,0,4,40,1:4.44
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,87202,Pendidikan Geografi,Aktif,S1,Unggul,15,12,0,12,591,1:39.4
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,84101,Pendidikan Ilmu Pengetahuan Alam,Aktif,S2,Baik,13,6,0,6,39,1:3
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,85103,Pendidikan Jasmani,Aktif,S2,Baik,5,5,0,5,17,1:3.4
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,85201,Pendidikan Jasmani,Aktif,S1,Unggul,36,27,0,27,1322,1:36.72
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,95102,Pendidikan Kependudukan & Lingkungan Hidup,Alih Bentuk,S2,-,0,0,0,0,0,-
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,86205,Pendidikan Masyarakat,Aktif,S1,Unggul,10,11,1,12,585,1:58.5
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,84102,Pendidikan Matematika,Aktif,S2,Baik Sekali,6,5,0,5,55,1:9.17
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,84202,Pendidikan Matematika,Aktif,S1,Unggul,30,17,0,17,715,1:23.83
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,86904,Pendidikan Profesi Guru,Aktif,Profesi,Baik Sekali,100,12,0,12,4546,1:45.46
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,87201,Pendidikan Sejarah,Aktif,S1,Unggul,12,11,0,11,660,1:55
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,61406,Perbankan dan Keuangan,Aktif,D3,B,21,12,3,15,584,1:27.81
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,61318,Perbankan dan Keuangan Digital,Aktif,D4,Baik,0,5,0,5,0,-
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,49202,Sains Data,Aktif,S1,-,0,0,0,0,0,-
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,57201,Sistem Informasi,Aktif,S1,Baik Sekali,15,13,1,14,249,1:16.6
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,20201,Teknik Elektro,Aktif,S1,Baik Sekali,23,16,2,18,443,1:19.26
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,22201,Teknik Sipil,Aktif,S1,Baik,19,23,1,24,560,1:29.47
Universitas Siliwangi,-,Jenjang,"1
dari
8",Ganjil 2024,41223,Teknologi Pangan dan Hasil Pertanian,Aktif,S1,-,22,7,0,7,88,1:4
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2023,54201,Agribisnis,Aktif,S1,Baik Sekali,35,18,0,18,629,1:17.97
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2023,54101,Agribisnis,Aktif,S2,Baik Sekali,9,5,0,5,40,1:4.44
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2023,54211,Agroteknologi,Aktif,S1,Baik Sekali,43,15,0,15,528,1:12.28
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2023,54111,Agroteknologi,Aktif,S2,Baik,6,5,0,5,31,1:5.17
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2023,62201,Akuntansi,Aktif,S1,Baik Sekali,28,18,1,19,1118,1:39.93
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2023,60201,Ekonomi Pembangunan,Aktif,S1,Baik Sekali,24,15,1,16,1073,1:44.71
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2023,60202,Ekonomi Syari'ah,Aktif,S1,B,21,11,0,11,639,1:30.43
Universitas Siliwangi,-,Jenjang,"1
dari
8",Genap 2023,13211,Gizi,Aktif,S1,Baik Sekali,17,14,0,14,423,1:24.88
