tahun_pelaporan,semester,tahun,nama_program_studi,jenjang,status_prodi,akreditasi_prodi,nama_universitas,jumlah_mahasiswa,jumlah_dosen_penghitung_rasio,dosen_tetap,dosen_tidak_tetap,total_dosen,rasio_dosen_mahasiswa,nilai_rasio,kota,provinsi,kode_pt,fakultas,rumpun_ilmu
Ganjil 2023,Ganjil,2023,Pendidikan Kependudukan & Lingkungan Hidup,S2,Alih Bentuk,-,Universitas Siliwangi,0,0,0,0,0,-,,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Ganjil 2023,Ganjil,2023,Pendidikan Masyarakat,S1,Aktif,Unggul,Universitas Siliwangi,619,13,7,1,8,1:47.62,47.62,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Ganjil 2023,Ganjil,2023,Pendidikan Matematika,S2,Aktif,Baik Sekali,Universitas Siliwangi,57,6,5,0,5,1:9.5,9.5,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sains
Ganjil 2023,Ganjil,2023,Pendidikan Matematika,S1,Aktif,Unggul,Universitas Siliwangi,753,32,20,0,20,1:23.53,23.53,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sains
Ganjil 2023,Ganjil,2023,Pendidikan Profesi Guru,Profesi,Aktif,Baik Sekali,Universitas Siliwangi,1327,106,5,0,5,1:12.52,12.52,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Ganjil 2023,Ganjil,2023,Pendidikan Sejarah,S1,Aktif,Unggul,Universitas Siliwangi,584,12,8,0,8,1:48.67,48.67,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Ganjil 2023,Ganjil,2023,Perbankan dan Keuangan,D3,Aktif,B,Universitas Siliwangi,525,20,15,3,18,1:26.25,26.25,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Ganjil 2023,Ganjil,2023,Perbankan dan Keuangan Digital,D4,Aktif,Baik,Universitas Siliwangi,0,0,0,0,0,-,,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Ganjil 2023,Ganjil,2023,Sains Data,S1,Aktif,-,Universitas Siliwangi,0,0,0,0,0,-,,Kota Tasikmalaya,Prov. Jawa Barat,002008,FT,Sains
Ganjil 2023,Ganjil,2023,Sistem Informasi,S1,Aktif,Baik Sekali,Universitas Siliwangi,142,13,7,1,8,1:10.92,10.92,Kota Tasikmalaya,Prov. Jawa Barat,002008,FT,Sains
Ganjil 2023,Ganjil,2023,Teknik Elektro,S1,Aktif,Baik Sekali,Universitas Siliwangi,413,21,11,2,13,1:19.67,19.67,Kota Tasikmalaya,Prov. Jawa Barat,002008,FT,Sains
Ganjil 2023,Ganjil,2023,Teknik Sipil,S1,Aktif,Baik,Universitas Siliwangi,529,20,18,1,19,1:26.45,26.45,Kota Tasikmalaya,Prov. Jawa Barat,002008,FT,Sains
Ganjil 2023,Ganjil,2023,Teknologi Pangan dan Hasil Pertanian,S1,Aktif,-,Universitas Siliwangi,29,16,4,0,4,1:1.81,1.81,Kota Tasikmalaya,Prov. Jawa Barat,002008,Faperta,Sains
Ganjil 2024,Ganjil,2024,Agribisnis,S1,Aktif,Baik Sekali,Universitas Siliwangi,719,49,25,0,25,1:14.67,14.67,Kota Tasikmalaya,Prov. Jawa Barat,002008,Faperta,Sains
Ganjil 2024,Ganjil,2024,Agribisnis,S2,Aktif,Baik Sekali,Universitas Siliwangi,46,11,5,0,5,1:4.18,4.18,Kota Tasikmalaya,Prov. Jawa Barat,002008,Faperta,Sains
