tahun_pelaporan,semester,tahun,nama_program_studi,jenjang,status_prodi,akreditasi_prodi,nama_universitas,jumlah_mahasiswa,jumlah_dosen_penghitung_rasio,dosen_tetap,dosen_tidak_tetap,total_dosen,rasio_dosen_mahasiswa,nilai_rasio,kota,provinsi,kode_pt,fakultas,rumpun_ilmu
Ganjil 2025,Ganjil,2025,Perbankan dan Keuangan Digital,D4,Aktif,Baik,Universitas Siliwangi,74,12,5,0,5,1:6.17,6.17,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Ganjil 2025,Ganjil,2025,Sains Data,S1,Aktif,Terakreditasi Pertama,Universitas Siliwangi,0,0,4,1,5,-,,Kota Tasikmalaya,Prov. Jawa Barat,002008,FT,Sains
Ganjil 2025,Ganjil,2025,Sistem Informasi,S1,Aktif,Baik Sekali,Universitas Siliwangi,363,21,8,0,8,1:17.29,17.29,Kota Tasikmalaya,Prov. Jawa Barat,002008,FT,Sains
Ganjil 2025,Ganjil,2025,Teknik Elektro,S1,Aktif,Baik Sekali,Universitas Siliwangi,466,19,16,2,18,1:24.53,24.53,Kota Tasikmalaya,Prov. Jawa Barat,002008,FT,Sains
Ganjil 2025,Ganjil,2025,Teknik Sipil,S1,Aktif,Baik,Universitas Siliwangi,599,21,26,1,27,1:28.52,28.52,Kota Tasikmalaya,Prov. Jawa Barat,002008,FT,Sains
Ganjil 2025,Ganjil,2025,Teknologi Pangan dan Hasil Pertanian,S1,Aktif,Terakreditasi,Universitas Siliwangi,150,30,9,0,9,1:5,5.0,Kota Tasikmalaya,Prov. Jawa Barat,002008,Faperta,Sains
Genap 2023,Genap,2023,Agribisnis,S1,Aktif,Baik Sekali,Universitas Siliwangi,629,35,18,0,18,1:17.97,17.97,Kota Tasikmalaya,Prov. Jawa Barat,002008,Faperta,Sains
Genap 2023,Genap,2023,Agribisnis,S2,Aktif,Baik Sekali,Universitas Siliwangi,40,9,5,0,5,1:4.44,4.44,Kota Tasikmalaya,Prov. Jawa Barat,002008,Faperta,Sains
Genap 2023,Genap,2023,Agroteknologi,S1,Aktif,Baik Sekali,Universitas Siliwangi,528,43,15,0,15,1:12.28,12.28,Kota Tasikmalaya,Prov. Jawa Barat,002008,Faperta,Sains
Genap 2023,Genap,2023,Agroteknologi,S2,Aktif,Baik,Universitas Siliwangi,31,6,5,0,5,1:5.17,5.17,Kota Tasikmalaya,Prov. Jawa Barat,002008,Faperta,Sains
Genap 2023,Genap,2023,Akuntansi,S1,Aktif,Baik Sekali,Universitas Siliwangi,1118,28,18,1,19,1:39.93,39.93,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Genap 2023,Genap,2023,Ekonomi Pembangunan,S1,Aktif,Baik Sekali,Universitas Siliwangi,1073,24,15,1,16,1:44.71,44.71,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Genap 2023,Genap,2023,Ekonomi Syari'ah,S1,Aktif,B,Universitas Siliwangi,639,21,11,0,11,1:30.43,30.43,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Genap 2023,Genap,2023,Gizi,S1,Aktif,Baik Sekali,Universitas Siliwangi,423,17,14,0,14,1:24.88,24.88,Kota Tasikmalaya,Prov. Jawa Barat,002008,FIK,Sains
Genap 2023,Genap,2023,Ilmu Manajemen,S3,Aktif,Baik,Universitas Siliwangi,0,0,5,0,5,-,,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Genap 2023,Genap,2023,Ilmu Pertanian,S3,Aktif,Terakreditasi Sementara,Universitas Siliwangi,0,0,5,0,5,-,,Kota Tasikmalaya,Prov. Jawa Barat,002008,Faperta,Sains
Genap 2023,Genap,2023,Ilmu Politik,S1,Aktif,B,Universitas Siliwangi,690,18,18,0,18,1:38.33,38.33,Kota Tasikmalaya,Prov. Jawa Barat,002008,FISIP,Sosial
Genap 2023,Genap,2023,Informatika,S1,Aktif,Baik Sekali,Universitas Siliwangi,722,26,18,2,20,1:27.77,27.77,Kota Tasikmalaya,Prov. Jawa Barat,002008,FT,Sains
Genap 2023,Genap,2023,Kesehatan Masyarakat,S1,Aktif,Baik Sekali,Universitas Siliwangi,685,21,13,0,13,1:32.62,32.62,Kota Tasikmalaya,Prov. Jawa Barat,002008,FIK,Sains
Genap 2023,Genap,2023,Manajemen,S1,Aktif,Baik Sekali,Universitas Siliwangi,1514,37,22,0,22,1:40.92,40.92,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Genap 2023,Genap,2023,Manajemen,S2,Aktif,Baik Sekali,Universitas Siliwangi,199,12,7,0,7,1:16.58,16.58,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Genap 2023,Genap,2023,Manajemen Mutu Halal,S1,Aktif,Terakreditasi Sementara,Universitas Siliwangi,0,0,5,0,5,-,,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Genap 2023,Genap,2023,Pendidikan,S3,Aktif,Baik,Universitas Siliwangi,0,0,5,0,5,-,,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Genap 2023,Genap,2023,Pendidikan Bahasa Indonesia,S1,Aktif,Unggul,Universitas Siliwangi,630,20,15,0,15,1:31.5,31.5,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Genap 2023,Genap,2023,Pendidikan Bahasa Inggris,S1,Aktif,Unggul,Universitas Siliwangi,738,22,21,0,21,1:33.55,33.55,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Genap 2023,Genap,2023,Pendidikan Biologi,S1,Aktif,Unggul,Universitas Siliwangi,587,17,9,0,9,1:34.53,34.53,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sains
Genap 2023,Genap,2023,Pendidikan Ekonomi,S1,Aktif,Unggul,Universitas Siliwangi,570,15,13,0,13,1:38,38.0,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Genap 2023,Genap,2023,Pendidikan Fisika,S1,Aktif,Unggul,Universitas Siliwangi,428,19,12,0,12,1:22.53,22.53,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sains
Genap 2023,Genap,2023,Pendidikan Geografi,S2,Aktif,Baik Sekali,Universitas Siliwangi,27,7,5,0,5,1:3.86,3.86,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Genap 2023,Genap,2023,Pendidikan Geografi,S1,Aktif,Unggul,Universitas Siliwangi,550,13,9,0,9,1:42.31,42.31,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Genap 2023,Genap,2023,Pendidikan Ilmu Pengetahuan Alam,S2,Aktif,Baik,Universitas Siliwangi,25,12,5,0,5,1:2.08,2.08,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sains
Genap 2023,Genap,2023,Pendidikan Jasmani,S2,Aktif,Baik,Universitas Siliwangi,0,0,5,0,5,-,,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Genap 2023,Genap,2023,Pendidikan Jasmani,S1,Aktif,Unggul,Universitas Siliwangi,1104,35,26,0,26,1:31.54,31.54,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Genap 2023,Genap,2023,Pendidikan Kependudukan & Lingkungan Hidup,S2,Alih Bentuk,-,Universitas Siliwangi,0,0,0,0,0,-,,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Genap 2023,Genap,2023,Pendidikan Masyarakat,S1,Aktif,Unggul,Universitas Siliwangi,574,10,7,1,8,1:57.4,57.4,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Genap 2023,Genap,2023,Pendidikan Matematika,S2,Aktif,Baik Sekali,Universitas Siliwangi,51,7,5,0,5,1:7.29,7.29,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sains
Genap 2023,Genap,2023,Pendidikan Matematika,S1,Aktif,Unggul,Universitas Siliwangi,715,29,20,0,20,1:24.66,24.66,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sains
Genap 2023,Genap,2023,Pendidikan Profesi Guru,Profesi,Aktif,Baik Sekali,Universitas Siliwangi,703,64,5,0,5,1:10.98,10.98,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Genap 2023,Genap,2023,Pendidikan Sejarah,S1,Aktif,Unggul,Universitas Siliwangi,564,16,8,0,8,1:35.25,35.25,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Genap 2023,Genap,2023,Perbankan dan Keuangan,D3,Aktif,B,Universitas Siliwangi,514,21,15,3,18,1:24.48,24.48,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Genap 2023,Genap,2023,Perbankan dan Keuangan Digital,D4,Aktif,Baik,Universitas Siliwangi,0,0,0,0,0,-,,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Genap 2023,Genap,2023,Sains Data,S1,Aktif,-,Universitas Siliwangi,0,0,0,0,0,-,,Kota Tasikmalaya,Prov. Jawa Barat,002008,FT,Sains
Genap 2023,Genap,2023,Sistem Informasi,S1,Aktif,Baik Sekali,Universitas Siliwangi,142,16,7,1,8,1:8.88,8.88,Kota Tasikmalaya,Prov. Jawa Barat,002008,FT,Sains
Genap 2023,Genap,2023,Teknik Elektro,S1,Aktif,Baik Sekali,Universitas Siliwangi,402,20,11,2,13,1:20.1,20.1,Kota Tasikmalaya,Prov. Jawa Barat,002008,FT,Sains
Genap 2023,Genap,2023,Teknik Sipil,S1,Aktif,Baik,Universitas Siliwangi,497,19,18,1,19,1:26.16,26.16,Kota Tasikmalaya,Prov. Jawa Barat,002008,FT,Sains
Genap 2023,Genap,2023,Teknologi Pangan dan Hasil Pertanian,S1,Aktif,-,Universitas Siliwangi,29,17,4,0,4,1:1.71,1.71,Kota Tasikmalaya,Prov. Jawa Barat,002008,Faperta,Sains
Genap 2024,Genap,2024,Agribisnis,S1,Aktif,Baik Sekali,Universitas Siliwangi,684,34,24,0,24,1:20.12,20.12,Kota Tasikmalaya,Prov. Jawa Barat,002008,Faperta,Sains
Genap 2024,Genap,2024,Agribisnis,S2,Aktif,Baik Sekali,Universitas Siliwangi,44,9,5,0,5,1:4.89,4.89,Kota Tasikmalaya,Prov. Jawa Barat,002008,Faperta,Sains
Genap 2024,Genap,2024,Agroteknologi,S1,Aktif,Baik Sekali,Universitas Siliwangi,554,44,18,0,18,1:12.59,12.59,Kota Tasikmalaya,Prov. Jawa Barat,002008,Faperta,Sains
Genap 2024,Genap,2024,Agroteknologi,S2,Aktif,Baik,Universitas Siliwangi,23,6,5,2,7,1:3.83,3.83,Kota Tasikmalaya,Prov. Jawa Barat,002008,Faperta,Sains
Genap 2024,Genap,2024,Akuntansi,S1,Aktif,Baik Sekali,Universitas Siliwangi,1258,29,25,1,26,1:43.38,43.38,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Genap 2024,Genap,2024,Ekonomi Pembangunan,S1,Aktif,Baik Sekali,Universitas Siliwangi,1227,25,21,1,22,1:49.08,49.08,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Genap 2024,Genap,2024,Ekonomi Syari'ah,S1,Aktif,B,Universitas Siliwangi,695,19,13,0,13,1:36.58,36.58,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Genap 2024,Genap,2024,Gizi,S1,Aktif,Baik Sekali,Universitas Siliwangi,501,15,15,0,15,1:33.4,33.4,Kota Tasikmalaya,Prov. Jawa Barat,002008,FIK,Sains
Genap 2024,Genap,2024,Ilmu Manajemen,S3,Aktif,Baik,Universitas Siliwangi,6,10,5,0,5,1:0.6,0.6,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Genap 2024,Genap,2024,Ilmu Pertanian,S3,Aktif,Terakreditasi Sementara,Universitas Siliwangi,3,4,5,0,5,1:0.75,0.75,Kota Tasikmalaya,Prov. Jawa Barat,002008,Faperta,Sains
Genap 2024,Genap,2024,Ilmu Politik,S1,Aktif,B,Universitas Siliwangi,797,16,22,0,22,1:49.81,49.81,Kota Tasikmalaya,Prov. Jawa Barat,002008,FISIP,Sosial
Genap 2024,Genap,2024,Informatika,S1,Aktif,Baik Sekali,Universitas Siliwangi,815,26,22,2,24,1:31.35,31.35,Kota Tasikmalaya,Prov. Jawa Barat,002008,FT,Sains
Genap 2024,Genap,2024,Kesehatan Masyarakat,S1,Aktif,Baik Sekali,Universitas Siliwangi,665,21,19,0,19,1:31.67,31.67,Kota Tasikmalaya,Prov. Jawa Barat,002008,FIK,Sains
Genap 2024,Genap,2024,Manajemen,S1,Aktif,Baik Sekali,Universitas Siliwangi,1629,37,30,0,30,1:44.03,44.03,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Genap 2024,Genap,2024,Manajemen,S2,Aktif,Baik Sekali,Universitas Siliwangi,184,11,6,1,7,1:16.73,16.73,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Genap 2024,Genap,2024,Manajemen Mutu Halal,S1,Aktif,Terakreditasi Sementara,Universitas Siliwangi,45,8,7,0,7,1:5.63,5.63,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Genap 2024,Genap,2024,Pendidikan,S3,Aktif,Baik,Universitas Siliwangi,6,11,5,0,5,1:0.55,0.55,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Genap 2024,Genap,2024,Pendidikan Bahasa Indonesia,S1,Aktif,Unggul,Universitas Siliwangi,702,21,15,2,17,1:33.43,33.43,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Genap 2024,Genap,2024,Pendidikan Bahasa Inggris,S1,Aktif,Unggul,Universitas Siliwangi,758,22,23,0,23,1:34.45,34.45,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Genap 2024,Genap,2024,Pendidikan Biologi,S1,Aktif,Unggul,Universitas Siliwangi,620,17,10,0,10,1:36.47,36.47,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sains
Genap 2024,Genap,2024,Pendidikan Ekonomi,S1,Aktif,Unggul,Universitas Siliwangi,584,15,16,0,16,1:38.93,38.93,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Genap 2024,Genap,2024,Pendidikan Fisika,S1,Aktif,Unggul,Universitas Siliwangi,427,17,10,0,10,1:25.12,25.12,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sains
Genap 2024,Genap,2024,Pendidikan Geografi,S2,Aktif,Baik Sekali,Universitas Siliwangi,35,7,4,0,4,1:5,5.0,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Genap 2024,Genap,2024,Pendidikan Geografi,S1,Aktif,Unggul,Universitas Siliwangi,545,14,12,0,12,1:38.93,38.93,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Genap 2024,Genap,2024,Pendidikan Ilmu Pengetahuan Alam,S2,Aktif,Baik,Universitas Siliwangi,39,12,6,0,6,1:3.25,3.25,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sains
Genap 2024,Genap,2024,Pendidikan Jasmani,S2,Aktif,Baik,Universitas Siliwangi,17,5,5,0,5,1:3.4,3.4,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Genap 2024,Genap,2024,Pendidikan Jasmani,S1,Aktif,Unggul,Universitas Siliwangi,1286,35,27,0,27,1:36.74,36.74,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Genap 2024,Genap,2024,Pendidikan Kependudukan & Lingkungan Hidup,S2,Alih Bentuk,-,Universitas Siliwangi,0,0,0,0,0,-,,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Genap 2024,Genap,2024,Pendidikan Masyarakat,S1,Aktif,Unggul,Universitas Siliwangi,559,11,11,1,12,1:50.82,50.82,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Genap 2024,Genap,2024,Pendidikan Matematika,S2,Aktif,Baik Sekali,Universitas Siliwangi,51,8,5,0,5,1:6.38,6.38,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sains
Genap 2024,Genap,2024,Pendidikan Matematika,S1,Aktif,Unggul,Universitas Siliwangi,670,30,17,0,17,1:22.33,22.33,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sains
Genap 2024,Genap,2024,Pendidikan Profesi Guru,Profesi,Aktif,Baik Sekali,Universitas Siliwangi,296,101,12,0,12,1:2.93,2.93,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Genap 2024,Genap,2024,Pendidikan Sejarah,S1,Aktif,Unggul,Universitas Siliwangi,648,21,11,0,11,1:30.86,30.86,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Genap 2024,Genap,2024,Perbankan dan Keuangan,D3,Aktif,B,Universitas Siliwangi,582,21,12,3,15,1:27.71,27.71,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Genap 2024,Genap,2024,Perbankan dan Keuangan Digital,D4,Aktif,Baik,Universitas Siliwangi,0,0,5,0,5,-,,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Genap 2024,Genap,2024,Sains Data,S1,Aktif,-,Universitas Siliwangi,0,0,0,0,0,-,,Kota Tasikmalaya,Prov. Jawa Barat,002008,FT,Sains
Genap 2024,Genap,2024,Sistem Informasi,S1,Aktif,Baik Sekali,Universitas Siliwangi,249,16,13,1,14,1:15.56,15.56,Kota Tasikmalaya,Prov. Jawa Barat,002008,FT,Sains
Genap 2024,Genap,2024,Teknik Elektro,S1,Aktif,Baik Sekali,Universitas Siliwangi,416,20,16,2,18,1:20.8,20.8,Kota Tasikmalaya,Prov. Jawa Barat,002008,FT,Sains
Genap 2024,Genap,2024,Teknik Sipil,S1,Aktif,Baik,Universitas Siliwangi,524,22,23,1,24,1:23.82,23.82,Kota Tasikmalaya,Prov. Jawa Barat,002008,FT,Sains
Genap 2024,Genap,2024,Teknologi Pangan dan Hasil Pertanian,S1,Aktif,-,Universitas Siliwangi,88,27,7,0,7,1:3.26,3.26,Kota Tasikmalaya,Prov. Jawa Barat,002008,Faperta,Sains
