id_universitas,id_prodi,id_waktu,jumlah_dosen_penghitung_rasio,dosen_tetap,dosen_tidak_tetap,total_dosen,jumlah_mahasiswa,rasio_dosen_mahasiswa,nilai_rasio
002008,88201,2,20,15,2,17,754,1:37.7,37.7
002008,88203,2,26,23,0,23,812,1:31.23,31.23
002008,84205,2,20,10,0,10,646,1:32.3,32.3
002008,87203,2,17,16,0,16,627,1:36.88,36.88
002008,84203,2,15,10,0,10,454,1:30.27,30.27
002008,87102,2,9,4,0,4,40,1:4.44,4.44
002008,87202,2,15,12,0,12,591,1:39.4,39.4
002008,84101,2,13,6,0,6,39,1:3,3.0
002008,85103,2,5,5,0,5,17,1:3.4,3.4
002008,85201,2,36,27,0,27,1322,1:36.72,36.72
002008,95102,2,0,0,0,0,0,-,
002008,86205,2,10,11,1,12,585,1:58.5,58.5
002008,84102,2,6,5,0,5,55,1:9.17,9.17
002008,84202,2,30,17,0,17,715,1:23.83,23.83
002008,86904,2,100,12,0,12,4546,1:45.46,45.46
002008,87201,2,12,11,0,11,660,1:55,55.0
002008,61406,2,21,12,3,15,584,1:27.81,27.81
002008,61318,2,0,5,0,5,0,-,
002008,49202,2,0,0,0,0,0,-,
002008,57201,2,15,13,1,14,249,1:16.6,16.6
002008,20201,2,23,16,2,18,443,1:19.26,19.26
002008,22201,2,19,23,1,24,560,1:29.47,29.47
002008,41223,2,22,7,0,7,88,1:4,4.0
002008,54201,4,35,18,0,18,629,1:17.97,17.97
002008,54101,4,9,5,0,5,40,1:4.44,4.44
002008,54211,4,43,15,0,15,528,1:12.28,12.28
002008,54111,4,6,5,0,5,31,1:5.17,5.17
002008,62201,4,28,18,1,19,1118,1:39.93,39.93
002008,60201,4,24,15,1,16,1073,1:44.71,44.71
002008,60202,4,21,11,0,11,639,1:30.43,30.43
002008,13211,4,17,14,0,14,423,1:24.88,24.88
002008,61001,4,0,5,0,5,0,-,
002008,54001,4,0,5,0,5,0,-,
002008,67201,4,18,18,0,18,690,1:38.33,38.33
002008,55201,4,26,18,2,20,722,1:27.77,27.77
002008,13201,4,21,13,0,13,685,1:32.62,32.62
002008,61201,4,37,22,0,22,1514,1:40.92,40.92
002008,61101,4,12,7,0,7,199,1:16.58,16.58
002008,80206,4,0,5,0,5,0,-,
002008,86009,4,0,5,0,5,0,-,
002008,88201,4,20,15,0,15,630,1:31.5,31.5
002008,88203,4,22,21,0,21,738,1:33.55,33.55
002008,84205,4,17,9,0,9,587,1:34.53,34.53
002008,87203,4,15,13,0,13,570,1:38,38.0
002008,84203,4,19,12,0,12,428,1:22.53,22.53
002008,87102,4,7,5,0,5,27,1:3.86,3.86
002008,87202,4,13,9,0,9,550,1:42.31,42.31
002008,84101,4,12,5,0,5,25,1:2.08,2.08
002008,85103,4,0,5,0,5,0,-,
002008,85201,4,35,26,0,26,1104,1:31.54,31.54
002008,95102,4,0,0,0,0,0,-,
002008,86205,4,10,7,1,8,574,1:57.4,57.4
002008,84102,4,7,5,0,5,51,1:7.29,7.29
002008,84202,4,29,20,0,20,715,1:24.66,24.66
002008,86904,4,64,5,0,5,703,1:10.98,10.98
002008,87201,4,16,8,0,8,564,1:35.25,35.25
002008,61406,4,21,15,3,18,514,1:24.48,24.48
002008,61318,4,0,0,0,0,0,-,
002008,49202,4,0,0,0,0,0,-,
002008,57201,4,16,7,1,8,142,1:8.88,8.88
002008,20201,4,20,11,2,13,402,1:20.1,20.1
002008,22201,4,19,18,1,19,497,1:26.16,26.16
002008,41223,4,17,4,0,4,29,1:1.71,1.71
002008,54201,1,52,18,0,18,667,1:12.83,12.83
002008,54101,1,10,5,0,5,22,1:2.2,2.2
002008,54211,1,43,15,0,15,568,1:13.21,13.21
002008,54111,1,9,5,0,5,36,1:4,4.0
002008,62201,1,35,18,1,19,1176,1:33.6,33.6
002008,60201,1,34,15,1,16,1113,1:32.74,32.74
