nama_universitas,kode_pt,status_pt_univ,akreditasi_pt_univ,tahun_pelaporan,kode_prodi,nama_program_studi,status_prodi,jenjang,akreditasi_prodi,jumlah_dosen_penghitung_rasio,dosen_tetap,dosen_tidak_tetap,total_dosen,jumlah_mahasiswa,rasio_dosen_mahasiswa
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,90345,Animasi,Aktif,D4,Baik,17,8,0,8,134,1:7.88
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,82201,Antropologi Budaya,Aktif,S1,Baik,23,12,1,13,160,1:6.96
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,90241,Desain Komunikasi Visual,Aktif,S1,Baik Sekali,35,20,0,20,811,1:23.17
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,90331,Desain Mode,Aktif,D4,Baik,30,9,1,10,375,1:12.5
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,90231,Desain Produk,Aktif,S1,Baik,19,7,0,7,110,1:5.79
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,91271,Fotografi,Aktif,S1,B,19,11,0,11,348,1:18.32
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,94202,Kewirausahaan,Aktif,S1,Baik,7,7,0,7,47,1:6.71
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,90211,Kriya Seni,Aktif,S1,B,19,15,0,15,88,1:4.63
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,91321,Musik Film,Aktif,D4,Baik,22,11,0,11,39,1:1.77
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,93202,Pariwisata,Aktif,S1,Baik,17,12,1,13,339,1:19.94
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,91101,Penciptaan dan Pengkajian Seni,Aktif,S2,B,27,6,0,6,97,1:3.59
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,91103,Penciptaan Seni,Aktif,S2 Terapan,Baik,14,5,0,5,13,1:0.93
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,90213,Pendidikan Kriya,Aktif,S1,Baik,19,10,1,11,118,1:6.21
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,88110,Pendidikan Seni,Aktif,S2,Baik,8,5,0,5,25,1:3.13
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,83315,Pendidikan Vokasional Tata Rias,Aktif,S1,Baik,25,10,0,10,188,1:7.52
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,90347,Produksi Media,Aktif,D4,Baik,22,7,0,7,44,1:2
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,91002,Seni,Aktif,S3,Terakreditasi Sementara,7,5,0,5,15,1:2.14
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,91211,Seni Karawitan,Aktif,S1,B,31,24,0,24,168,1:5.42
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,90201,Seni Murni,Aktif,S1,Baik,16,12,0,12,94,1:5.88
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,91221,Seni Musik,Aktif,S1,B,39,26,0,26,278,1:7.13
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,91231,Seni Tari,Aktif,S1,A,38,12,0,12,382,1:10.05
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,91251,Seni Teater,Aktif,S1,B,22,13,0,13,52,1:2.36
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,85315,Studi Humanitas,Aktif,S1,Baik,19,7,1,8,23,1:1.21
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,95315,Studi Humanitas,Aktif,S2,Baik,13,5,0,5,8,1:0.62
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,91332,Tari Melayu,Aktif,D4,-,12,7,0,7,8,1:0.67
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,91331,Tari Minang,Aktif,D4,Baik,25,6,0,6,16,1:0.64
Institut Seni Indonesia Padang Panjang,-,Jenjang,"1
dari
6",Ganjil 2025,91261,Televisi dan Film,Aktif,S1,Baik,26,16,0,16,606,1:23.31
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,90345,Animasi,Aktif,D4,Baik,0,5,0,5,35,-
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,90446,Animasi,Tutup,D3,-,0,0,0,0,0,-
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,23201,Arsitektur,Aktif,S1,Terakreditasi Sementara,0,5,0,5,24,-
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,90212,Batik,Alih Bentuk,D4,-,0,0,0,0,0,-
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,64211,Bisnis Musik,Aktif,S1,-,0,3,0,3,0,-
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,90221,Desain Interior,Aktif,S1,B,4,14,2,16,166,1:41.5
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,90241,Desain Komunikasi Visual,Aktif,S1,Baik Sekali,0,17,0,17,222,-
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,90212,Desain Mode Batik,Aktif,D4,Baik Sekali,1,12,0,12,115,1:115
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,90233,Desain Produk Industri,Aktif,S1,Terakreditasi Sementara,3,6,0,6,29,1:9.67
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,93304,Destinasi Pariwisata,Aktif,D4,Terakreditasi Sementara,0,6,0,6,20,-
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,91201,Etnomusikologi,Aktif,S1,Unggul,2,18,0,18,100,1:50
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,91261,Film dan Televisi,Aktif,S1,Baik Sekali,5,17,1,18,204,1:40.8
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,91271,Fotografi,Aktif,S1,-,0,13,0,13,172,-
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,90232,Keris dan Senjata Tradisional,Alih Bentuk,D4,-,0,0,0,0,0,-
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,88227,Koreografi Inkuiri,Aktif,S1,Terakreditasi Sementara,2,9,0,9,24,1:12
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,90211,Kriya,Aktif,S1,B,1,12,0,12,102,1:102
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,90211,Kriya Seni,Alih Bentuk,S1,-,0,0,0,0,0,-
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,91001,Penciptaan Dan Pengkajian Seni,Alih Bentuk,S3,-,0,0,0,0,0,-
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,91101,Penciptaan Dan Pengkajian Seni,Alih Bentuk,S2,-,0,0,0,0,0,-
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,91001,Seni,Aktif,S3,Unggul,7,5,0,5,30,1:4.29
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,91101,Seni,Aktif,S2,A,3,6,0,6,39,1:13
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,88200,Seni Intermedia,Aktif,S1,Terakreditasi Sementara,0,6,0,6,22,-
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,91211,Seni Karawitan,Aktif,S1,Baik Sekali,4,33,0,33,199,1:49.75
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,90201,Seni Murni,Aktif,S1,Baik Sekali,3,13,0,13,134,1:44.67
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,91241,Seni Pedalangan,Aktif,S1,A,4,19,0,19,68,1:17
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,90201,Seni Rupa Murni,Alih Bentuk,S1,-,0,0,0,0,0,-
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,91231,Seni Tari,Alih Bentuk,S1,-,0,0,0,0,0,-
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,91251,Seni Teater,Alih Bentuk,S1,-,0,0,0,0,0,-
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,90232,Senjata Tradisional Keris,Aktif,D4,B,1,8,0,8,28,1:28
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,91231,Tari,Aktif,S1,B,2,32,0,32,213,1:106.5
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,90202,Tata Kelola Seni,Aktif,D4,Terakreditasi Sementara,1,7,0,7,23,1:23
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,91251,Teater,Aktif,S1,Baik Sekali,5,19,0,19,47,1:9.4
Institut Seni Indonesia Surakarta,-,Jenjang,"1
dari
7",Ganjil 2025,91261,Televisi Dan Film,Alih Bentuk,S1,-,0,0,0,0,0,-
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,61316,Bisnis Digital,Aktif,D4,-,0,0,0,0,0,-
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,59601,Informasi Teknologi,Alih Bentuk,D1,-,0,0,0,0,0,-
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,90243,Multimedia,Alih Bentuk,D1,-,0,0,0,0,0,-
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,56402,PJJ Teknik Informatika,Aktif,D3,Unggul,29,7,0,7,483,1:16.66
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,20372,PJJ Teknik Telekomunikasi,Aktif,D4,Baik,28,7,0,7,166,1:5.93
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,49304,Sains Data Terapan,Aktif,D4,Baik Sekali,34,6,0,6,232,1:6.82
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,21306,Sistem Pembangkit Energi,Aktif,D4,Unggul,25,15,0,15,313,1:12.52
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,26112,Sistem Siber-Fisik,Aktif,S3 Terapan,Terakreditasi,5,6,0,6,16,1:3.2
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,20101,Teknik Elektro,Aktif,S2,Unggul,15,5,0,5,48,1:3.2
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,20403,Teknik Elektro Industri,Aktif,D3,A,31,15,0,15,196,1:6.32
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,20303,Teknik Elektro Industri,Aktif,D4,Unggul,38,13,0,13,409,1:10.76
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,20603,Teknik Elektro Industri Kampus PT Pembangkit jawa-Bali,Alih Bentuk,D1,-,0,0,0,0,0,-
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,20301,Teknik Elektronika,Aktif,D4,Unggul,50,17,0,17,460,1:9.2
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,20401,Teknik Elektronika,Aktif,D3,A,36,14,0,14,182,1:5.06
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,20601,Teknik Elektronika Kampus PT Pembangkit Jawa-Bali,Alih Bentuk,D1,-,0,0,0,0,0,-
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,55401,Teknik Informatika,Aktif,D3,Unggul,33,8,0,8,178,1:5.39
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,55301,Teknik Informatika,Aktif,D4,Unggul,50,11,0,11,476,1:9.52
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,56401,Teknik Informatika (Kampus Kab Lamongan),Aktif,D3,Baik,12,8,0,8,165,1:13.75
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,56403,Teknik Informatika (Kampus Kab Sumenep),Aktif,D3,Baik,8,7,0,7,61,1:7.63
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,55501,Teknik Informatika (Kampus Ponorogo),Alih Bentuk,D2,-,0,0,0,0,0,-
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,55571,Teknik Informatika (Kampus Sumenep),Alih Bentuk,D2,-,0,0,0,0,0,-
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,55101,Teknik Informatika dan Komputer,Aktif,S2,Unggul,15,5,0,5,34,1:2.27
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,55601,Teknik Informatika Kampus Pacitan,Alih Bentuk,D1,-,0,0,0,0,0,-
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,55581,"Teknik Informatika, Kampus Lamongan",Alih Bentuk,D2,-,0,0,0,0,0,-
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,56301,Teknik Komputer,Aktif,D4,Unggul,36,14,0,14,341,1:9.47
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,56601,Teknik Komputer dan Jaringan,Alih Bentuk,D1,-,0,0,0,0,0,-
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,21312,Teknik Mekatronika,Aktif,D4,Unggul,27,17,0,17,335,1:12.41
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,21512,Teknik Mekatronika (Kampus Ponorogo),Alih Bentuk,D2,-,0,0,0,0,0,-
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,21612,Teknik Mekatronika Kampus PT Pembangkit Jawa-Bali,Alih Bentuk,D1,-,0,0,0,0,0,-
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,20402,Teknik Telekomunikasi,Aktif,D3,A,35,7,0,7,172,1:4.91
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,20302,Teknik Telekomunikasi,Aktif,D4,A,48,11,0,11,424,1:8.83
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,20302,Teknik Telekomunikasi,Aktif,D4,A,48,11,0,11,424,1:8.83
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,90345,Teknologi Game,Aktif,D4,Unggul,35,17,0,17,462,1:13.2
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,90447,Teknologi Multimedia Broadcasting (Kampus Kab Lamongan),Aktif,D3,Baik,9,11,0,11,84,1:9.33
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,90448,Teknologi Multimedia Broadcasting (Kampus Kab. Sumenep),Aktif,D3,Baik,9,6,0,6,36,1:4
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,90443,Teknologi Multimedia dan Broadcasting,Aktif,D3,Unggul,24,7,0,7,182,1:7.58
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,90643,"Teknologi Multimedia dan Broadcasting, (Kampus Pacitan)",Alih Bentuk,D1,-,0,0,0,0,0,-
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,90573,"Teknologi Multimedia dan Broadcasting, Kampus Lamongan",Alih Bentuk,D2,-,0,0,0,0,0,-
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,90543,"Teknologi Multimedia dan Broadcasting, Kampus Sumenep",Tutup,D2,-,0,0,0,0,0,-
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,58303,Teknologi Rekayasa Internet,Aktif,D4,Baik Sekali,29,11,0,11,237,1:8.17
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,90346,Teknologi Rekayasa Multimedia,Aktif,D4,Baik Sekali,28,7,0,7,243,1:8.68
Politeknik Elektronika Negeri Surabaya,-,Jenjang,"1
dari
9",Ganjil 2025,21321,Teknologi Rekayasa Perancangan Manufaktur,Aktif,D4,-,0,0,0,0,0,-
Politeknik Manufaktur Bandung,-,Jenjang,"1
dari
6",Ganjil 2025,21516,Gambar Rekayasa Mesin,Aktif,D2,-,0,0,0,0,0,-
Politeknik Manufaktur Bandung,-,Jenjang,"1
dari
6",Ganjil 2025,26305,Manajemen Teknologi Rekayasa,Aktif,D4,Baik,21,14,0,14,208,1:9.9
Politeknik Manufaktur Bandung,-,Jenjang,"1
dari
6",Ganjil 2025,21412,Mekatronika,Aktif,D3,-,0,0,0,0,0,-
Politeknik Manufaktur Bandung,-,Jenjang,"1
dari
6",Ganjil 2025,21612,Mekatronika,Tutup,D1,-,0,0,0,0,0,-
Politeknik Manufaktur Bandung,-,Jenjang,"1
dari
6",Ganjil 2025,21408,Pemeliharaan Mesin,Aktif,D3,B,18,10,0,10,145,1:8.06
Politeknik Manufaktur Bandung,-,Jenjang,"1
dari
6",Ganjil 2025,21408,Pemeliharaan Mesin,Aktif,D3,B,18,10,0,10,145,1:8.06
Politeknik Manufaktur Bandung,-,Jenjang,"1
dari
6",Ganjil 2025,21301,Rekayasa Perancangan Mekanik,Aktif,D4,Baik Sekali,29,11,0,11,167,1:5.76
Politeknik Manufaktur Bandung,-,Jenjang,"1
dari
6",Ganjil 2025,26110,Sistem Siber-Fisik,Aktif,S2 Terapan,-,5,5,0,5,0,1:0
Politeknik Manufaktur Bandung,-,Jenjang,"1
dari
6",Ganjil 2025,21512,Teknik Mekatronika,Aktif,D2,-,0,0,0,0,0,-
Politeknik Manufaktur Bandung,-,Jenjang,"1
dari
6",Ganjil 2025,21512,"Teknik Mekatronika, Kampus Karawang.",Tutup,D2,-,0,0,0,0,0,-
Politeknik Manufaktur Bandung,-,Jenjang,"1
dari
6",Ganjil 2025,21602,Teknik Mesin dan Manufaktur Kampus Bekasi,Tutup,D1,-,0,0,0,0,0,-
Politeknik Manufaktur Bandung,-,Jenjang,"1
dari
6",Ganjil 2025,21508,"Teknik Pemeliharaan Mesin, Kampus Karawang.",Tutup,D2,-,0,0,0,0,0,-
Politeknik Manufaktur Bandung,-,Jenjang,"1
dari
6",Ganjil 2025,21509,"Teknik Perancangan Mekanik Umum, Kampus Karawang.",Tutup,D2,-,0,0,0,0,0,-
Politeknik Manufaktur Bandung,-,Jenjang,"1
dari
6",Ganjil 2025,21413,Teknologi Manufaktur,Aktif,D3,Baik Sekali,18,7,0,7,163,1:9.06
Politeknik Manufaktur Bandung,-,Jenjang,"1
dari
6",Ganjil 2025,21407,Teknologi Pembuatan Perkakas Presisi,Aktif,D3,B,20,8,0,8,143,1:7.15
Politeknik Manufaktur Bandung,-,Jenjang,"1
dari
6",Ganjil 2025,21410,Teknologi Pengecoran Logam,Aktif,D3,B,23,14,0,14,157,1:6.83
Politeknik Manufaktur Bandung,-,Jenjang,"1
dari
6",Ganjil 2025,21410,Teknologi Pengecoran Logam,Aktif,D3,B,23,14,0,14,157,1:6.83
Politeknik Manufaktur Bandung,-,Jenjang,"1
dari
6",Ganjil 2025,21409,Teknologi Perancangan Mekanik,Aktif,D3,B,0,0,0,0,0,-
Politeknik Manufaktur Bandung,-,Jenjang,"1
dari
6",Ganjil 2025,21411,Teknologi Perancangan Perkakas Presisi,Aktif,D3,B,21,8,1,9,114,1:5.43
Politeknik Manufaktur Bandung,-,Jenjang,"1
dari
6",Ganjil 2025,21411,Teknologi Perancangan Perkakas Presisi,Aktif,D3,B,21,8,1,9,114,1:5.43
Politeknik Manufaktur Bandung,-,Jenjang,"1
dari
6",Ganjil 2025,57303,Teknologi Rekayasa Informatika Industri,Aktif,D4,Baik,22,9,0,9,257,1:11.68
Politeknik Manufaktur Bandung,-,Jenjang,"1
dari
6",Ganjil 2025,21302,Teknologi Rekayasa Manufaktur,Aktif,D4,B,36,9,0,9,251,1:6.97
Politeknik Manufaktur Bandung,-,Jenjang,"1
dari
6",Ganjil 2025,28301,Teknologi Rekayasa Material Maju,Aktif,D4,Baik,25,9,0,9,111,1:4.44
Politeknik Manufaktur Bandung,-,Jenjang,"1
dari
6",Ganjil 2025,21312,Teknologi Rekayasa Mekatronika,Aktif,D4,Baik Sekali,33,9,0,9,287,1:8.7
Politeknik Manufaktur Bandung,-,Jenjang,"1
dari
6",Ganjil 2025,36304,Teknologi Rekayasa Otomasi,Aktif,D4,Unggul,28,12,0,12,285,1:10.18
Politeknik Manufaktur Bandung,-,Jenjang,"1
dari
6",Ganjil 2025,21307,Teknologi Rekayasa Perancangan Manufaktur,Aktif,D4,Unggul,26,9,0,9,175,1:6.73
Politeknik Manufaktur Bandung,-,Jenjang,"1
dari
6",Ganjil 2025,56210,Teknologi Rekayasa Sistem Aerial Nirawak,Aktif,D4,Terakreditasi Pertama,8,7,0,7,24,1:3
Politeknik Negeri Bali,-,Jenjang,"1
dari
9",Ganjil 2025,93103,Perencanaan Pariwisata,Aktif,S2 Terapan,Unggul,14,4,0,4,59,1:4.21
Politeknik Negeri Bali,-,Jenjang,"1
dari
9",Ganjil 2025,63411,Administrasi Bisnis,Aktif,D3,Unggul,36,19,0,19,480,1:13.33
Politeknik Negeri Bali,-,Jenjang,"1
dari
9",Ganjil 2025,63415,Administrasi Bisnis (Kampus Kab. Karangasem),Aktif,D3,Baik Sekali,14,4,0,4,69,1:4.93
Politeknik Negeri Bali,-,Jenjang,"1
dari
9",Ganjil 2025,56572,Administrasi Jaringan Komputer,Aktif,D2,Baik,10,5,0,5,23,1:2.3
Politeknik Negeri Bali,-,Jenjang,"1
dari
9",Ganjil 2025,61503,Administrasi Perpajakan,Aktif,D2,Baik,13,14,0,14,20,1:1.54
Politeknik Negeri Bali,-,Jenjang,"1
dari
9",Ganjil 2025,62401,Akuntansi,Aktif,D3,Baik Sekali,50,31,0,31,421,1:8.42
Politeknik Negeri Bali,-,Jenjang,"1
dari
9",Ganjil 2025,62309,Akuntansi Bisnis Digital,Aktif,D4,Baik,8,9,0,9,47,1:5.88
Politeknik Negeri Bali,-,Jenjang,"1
dari
9",Ganjil 2025,62301,Akuntansi Manajerial,Aktif,D4,A,66,37,0,37,670,1:10.15
Politeknik Negeri Bali,-,Jenjang,"1
dari
9",Ganjil 2025,62303,Akuntansi Perpajakan,Aktif,D4,Baik Sekali,45,16,0,16,517,1:11.49
Politeknik Negeri Bali,-,Jenjang,"1
dari
9",Ganjil 2025,79302,Bahasa Inggris Untuk Komunikasi Bisnis dan Profesional,Aktif,D4,Baik,21,7,0,7,84,1:4
Politeknik Negeri Bali,-,Jenjang,"1
dari
9",Ganjil 2025,61316,Bisnis Digital,Aktif,D4,Baik Sekali,32,16,0,16,385,1:12.03
Politeknik Negeri Bali,-,Jenjang,"1
dari
9",Ganjil 2025,93298,Bisnis Pariwisata,Aktif,S3 Terapan,Terakreditasi Sementara,5,5,0,5,25,1:5
Politeknik Negeri Bali,-,Jenjang,"1
dari
9",Ganjil 2025,22502,"Fondasi, Beton, Dan Pengaspalan Jalan",Aktif,D2,Baik,1,8,0,8,2,1:2
Politeknik Negeri Bali,-,Jenjang,"1
dari
9",Ganjil 2025,20505,Instalasi Dan Pemeliharaan Kabel Bertegangan Rendah,Tutup,D2,Baik,0,0,0,0,0,-
Politeknik Negeri Bali,-,Jenjang,"1
dari
9",Ganjil 2025,93308,Manajemen Bisnis Internasional,Aktif,D4,Baik Sekali,0,29,0,29,786,-
Politeknik Negeri Bali,-,Jenjang,"1
dari
9",Ganjil 2025,93303,Manajemen Bisnis Pariwisata,Aktif,D4,Unggul,47,30,0,30,883,1:18.79
Politeknik Negeri Bali,-,Jenjang,"1
dari
9",Ganjil 2025,57401,Manajemen Informatika,Aktif,D3,Unggul,21,15,0,15,244,1:11.62
Politeknik Negeri Bali,-,Jenjang,"1
dari
9",Ganjil 2025,54533,Manajemen Operasi Bisnis Digital,Aktif,D2,Baik,0,5,0,5,6,-
Politeknik Negeri Bali,-,Jenjang,"1
dari
9",Ganjil 2025,22302,Manajemen Proyek Konstruksi,Aktif,D4,Baik Sekali,55,22,0,22,474,1:8.62
Politeknik Negeri Bali,-,Jenjang,"1
dari
9",Ganjil 2025,21514,Operasionalisasi Perkantoran Digital,Tutup,D2,-,0,0,0,0,0,-
Politeknik Negeri Bali,-,Jenjang,"1
dari
9",Ganjil 2025,93603,Pariwisata K. Mataram,Tutup,D1,-,0,0,0,0,0,-
Politeknik Negeri Bali,-,Jenjang,"1
dari
9",Ganjil 2025,61704,"Pemasaran, Inovasi, dan Teknologi",Aktif,S2 Terapan,-,8,5,0,5,24,1:3
Politeknik Negeri Bali,-,Jenjang,"1
dari
9",Ganjil 2025,93402,Perhotelan,Aktif,D3,B,50,31,1,32,995,1:19.9
Politeknik Negeri Bali,-,Jenjang,"1
dari
9",Ganjil 2025,93672,Perhotelan (Kampus Kab. Gianyar),Tutup,D1,-,0,0,0,0,0,-
Politeknik Negeri Bali,-,Jenjang,"1
dari
9",Ganjil 2025,93482,Perhotelan (Kampus Kab. Jembrana),Aktif,D3,Baik,11,7,0,7,62,1:5.64
Politeknik Negeri Bali,-,Jenjang,"1
dari
9",Ganjil 2025,93604,Perhotelan (Kampus Kab. Jembrana),Tutup,D1,-,0,0,0,0,0,-
Politeknik Negeri Bali,-,Jenjang,"1
dari
9",Ganjil 2025,93411,Perhotelan (Kampus Kab. Karangasem),Aktif,D3,Baik,17,6,0,6,51,1:3
Politeknik Negeri Bali,-,Jenjang,"1
dari
9",Ganjil 2025,93502,Perhotelan (Kampus Kab. Lombok Barat),Tutup,D2,-,0,0,0,0,0,-
Politeknik Negeri Bali,-,Jenjang,"1
dari
9",Ganjil 2025,93410,Perhotelan (Kampus Kab. Lombok Barat),Aktif,D3,Baik,11,8,0,8,68,1:6.18
Politeknik Negeri Bali,-,Jenjang,"1
dari
9",Ganjil 2025,93506,Perhotelan (Kampus Kab. Selayar),Tutup,D2,-,0,0,0,0,0,-
